"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0세","2023년06월_계_1세","2023년06월_계_2세","2023년06월_계_3세","2023년06월_계_4세","2023년06월_계_5세","2023년06월_계_6세","2023년06월_계_7세","2023년06월_계_8세","2023년06월_계_9세","2023년06월_계_10세","2023년06월_계_11세","2023년06월_계_12세","2023년06월_계_13세","2023년06월_계_14세","2023년06월_계_15세","2023년06월_계_16세","2023년06월_계_17세","2023년06월_계_18세","2023년06월_계_19세","2023년06월_계_20세","2023년06월_계_21세","2023년06월_계_22세","2023년06월_계_23세","2023년06월_계_24세","2023년06월_계_25세","2023년06월_계_26세","2023년06월_계_27세","2023년06월_계_28세","2023년06월_계_29세","2023년06월_계_30세","2023년06월_계_31세","2023년06월_계_32세","2023년06월_계_33세","2023년06월_계_34세","2023년06월_계_35세","2023년06월_계_36세","2023년06월_계_37세","2023년06월_계_38세","2023년06월_계_39세","2023년06월_계_40세","2023년06월_계_41세","2023년06월_계_42세","2023년06월_계_43세","2023년06월_계_44세","2023년06월_계_45세","2023년06월_계_46세","2023년06월_계_47세","2023년06월_계_48세","2023년06월_계_49세","2023년06월_계_50세","2023년06월_계_51세","2023년06월_계_52세","2023년06월_계_53세","2023년06월_계_54세","2023년06월_계_55세","2023년06월_계_56세","2023년06월_계_57세","2023년06월_계_58세","2023년06월_계_59세","2023년06월_계_60세","2023년06월_계_61세","2023년06월_계_62세","2023년06월_계_63세","2023년06월_계_64세","2023년06월_계_65세","2023년06월_계_66세","2023년06월_계_67세","2023년06월_계_68세","2023년06월_계_69세","2023년06월_계_70세","2023년06월_계_71세","2023년06월_계_72세","2023년06월_계_73세","2023년06월_계_74세","2023년06월_계_75세","2023년06월_계_76세","2023년06월_계_77세","2023년06월_계_78세","2023년06월_계_79세","2023년06월_계_80세","2023년06월_계_81세","2023년06월_계_82세","2023년06월_계_83세","2023년06월_계_84세","2023년06월_계_85세","2023년06월_계_86세","2023년06월_계_87세","2023년06월_계_88세","2023년06월_계_89세","2023년06월_계_90세","2023년06월_계_91세","2023년06월_계_92세","2023년06월_계_93세","2023년06월_계_94세","2023년06월_계_95세","2023년06월_계_96세","2023년06월_계_97세","2023년06월_계_98세","2023년06월_계_99세","2023년06월_계_100세 이상"
"전국  (0000000000)","51,392,745","51,392,745","236,544","257,293","272,467","292,357","319,882","348,224","386,547","432,065","446,578","439,953","468,707","478,168","487,829","452,202","458,413","492,473","463,696","441,514","449,800","483,198","485,846","521,018","604,263","629,282","622,501","657,301","675,138","698,381","698,835","709,336","723,013","716,469","655,695","643,756","628,400","611,236","621,389","643,297","643,356","701,941","775,512","834,363","838,427","836,660","763,609","755,683","746,410","763,094","807,127","877,190","892,480","894,758","930,938","894,828","942,087","847,993","821,114","825,613","829,785","747,588","867,738","806,340","937,938","877,183","787,342","740,935","692,339","651,399","668,661","524,007","507,875","499,099","391,967","434,020","409,301","405,758","392,243","263,870","302,819","287,538","324,283","312,159","250,002","228,521","212,672","180,209","161,465","140,766","118,687","93,092","74,280","59,576","42,988","35,065","27,488","19,424","13,369","8,356","5,605","3,708","9,036"
"서울특별시  (1100000000)","9,414,093","9,414,093","39,375","41,993","43,919","45,607","48,977","52,316","58,039","65,084","67,298","65,993","70,971","72,169","73,973","69,953","71,459","77,688","74,178","71,208","75,228","85,779","88,737","96,808","118,531","129,455","135,418","149,356","157,741","165,463","166,205","168,329","170,772","166,912","150,700","144,120","139,292","130,679","129,926","130,645","127,890","135,922","143,607","152,122","151,969","150,739","136,515","133,419","133,875","134,258","142,932","154,015","157,893","160,654","165,595","157,785","161,055","144,231","136,793","137,202","139,918","129,179","145,319","134,263","155,138","149,415","136,608","131,391","122,978","117,743","122,390","97,255","94,393","89,824","71,891","81,197","75,909","76,605","75,267","52,097","56,205","52,542","57,004","54,463","42,665","37,451","34,307","28,625","25,071","21,462","17,635","13,752","10,932","8,685","6,420","5,385","4,347","3,072","2,194","1,263","897","674","1,495"
"부산광역시  (2600000000)","3,306,993","3,306,993","13,227","14,689","15,216","16,661","18,329","20,732","23,071","26,023","26,696","25,983","27,443","27,818","28,067","25,383","25,641","27,221","25,351","24,357","25,417","28,073","28,886","31,588","38,352","40,182","38,852","40,560","41,439","42,194","41,975","42,530","43,381","43,135","39,234","39,147","37,519","36,300","36,492","37,744","38,375","42,465","47,037","51,425","52,816","53,134","47,243","46,062","44,521","45,613","49,087","52,869","54,039","54,797","56,908","55,420","58,636","53,789","52,250","53,044","51,888","49,193","59,017","56,674","66,674","62,575","58,023","56,030","54,286","51,736","53,460","42,120","41,888","40,769","32,923","35,897","34,070","32,594","30,427","19,668","24,150","22,033","24,421","22,201","18,333","16,192","14,556","11,572","10,452","8,738","7,238","5,522","4,255","3,586","2,422","1,896","1,671","1,183","758","487","318","198","461"
"대구광역시  (2700000000)","2,356,416","2,356,416","9,533","10,879","11,387","12,966","14,184","15,862","18,092","20,051","20,483","20,131","21,341","21,907","22,096","20,307","20,754","22,497","21,157","20,619","21,090","23,202","23,592","25,048","29,073","30,410","28,311","29,632","30,053","30,735","30,028","30,330","30,723","30,743","27,685","28,001","26,516","25,418","26,162","26,987","26,733","29,691","33,497","36,137","37,025","36,896","33,935","33,584","34,498","35,033","37,579","40,767","41,925","42,306","43,494","43,142","44,903","42,096","40,164","39,931","39,728","36,484","41,721","39,430","44,067","41,457","37,115","33,362","32,744","30,981","30,817","24,598","26,098","25,298","19,286","20,786","21,072","19,390","17,799","10,766","13,585","14,265","15,676","14,289","11,730","10,625","9,512","8,052","7,132","6,220","5,223","3,998","3,101","2,566","1,751","1,278","1,006","742","472","292","194","124","263"
"인천광역시  (2800000000)","2,978,749","2,978,749","14,214","15,862","16,298","17,738","19,687","20,655","22,986","25,540","26,468","25,734","27,352","28,162","28,731","26,386","26,798","28,661","27,001","25,630","25,610","27,662","27,603","29,714","33,962","35,858","35,792","38,302","40,001","41,640","42,306","43,930","45,109","45,193","41,261","40,061","38,981","37,349","37,825","39,640","39,376","43,062","47,384","51,152","51,336","51,262","45,775","45,628","44,068","44,892","47,838","51,039","52,477","52,245","54,304","52,275","55,077","49,847","48,367","49,315","50,952","45,932","53,056","48,616","54,992","51,381","45,507","42,565","38,423","35,374","35,780","27,586","25,876","24,925","18,600","21,808","20,182","20,067","19,940","13,416","14,291","13,780","15,073","14,358","11,380","10,160","9,813","8,221","7,266","6,480","5,398","4,283","3,581","2,844","2,156","1,706","1,427","951","718","439","329","177","519"
"광주광역시  (2900000000)","1,424,818","1,424,818","6,726","7,730","8,112","8,614","9,444","10,532","11,784","13,238","13,499","13,616","14,653","14,802","15,234","14,341","14,617","15,627","14,983","14,378","14,599","15,625","16,105","17,450","19,906","20,218","19,554","20,333","20,355","20,495","20,264","19,887","19,755","19,250","17,333","16,706","15,923","15,815","16,274","17,195","17,362","19,517","22,031","23,880","23,162","23,780","22,248","21,862","22,508","21,824","23,506","25,650","26,089","25,267","26,584","24,822","26,300","23,324","22,370","23,151","21,201","19,819","22,248","19,280","22,690","21,944","19,380","17,998","15,970","14,808","15,506","12,077","11,391","11,937","10,597","10,993","10,394","10,321","10,136","7,041","7,701","6,634","7,824","7,801","6,063","5,366","4,785","4,262","3,706","3,086","2,725","2,124","1,672","1,303","984","917","602","417","301","200","117","64","224"
"대전광역시  (3000000000)","1,445,126","1,445,126","7,656","7,709","8,035","8,264","9,075","9,944","11,158","12,330","12,848","12,653","13,422","13,706","14,114","13,236","13,427","14,646","13,999","13,377","13,887","15,192","15,384","17,040","19,900","20,460","20,556","21,288","21,944","22,046","21,823","21,472","21,603","20,878","19,278","18,569","17,821","17,622","17,510","17,977","17,559","19,059","21,134","22,776","23,070","22,597","21,346","21,379","21,210","21,857","22,793","25,425","25,568","25,393","26,466","25,230","27,450","23,949","22,667","21,437","22,994","19,235","22,767","21,771","25,697","23,601","20,357","19,374","18,281","17,316","17,773","13,712","12,762","12,737","9,874","11,244","10,476","9,699","9,392","6,379","7,389","7,164","7,764","7,669","5,675","5,289","5,070","4,350","3,745","3,290","2,782","2,253","1,747","1,414","984","826","666","470","305","191","126","93","209"
"울산광역시  (3100000000)","1,106,015","1,106,015","5,116","5,725","6,285","6,816","7,541","8,398","9,507","10,667","11,017","11,039","11,404","11,484","11,751","10,749","10,982","11,654","10,901","10,212","9,995","10,226","9,889","10,562","11,909","12,378","11,953","12,938","13,560","13,953","13,930","13,968","14,431","14,414","13,479","13,614","13,163","12,813","13,187","13,824","13,874","15,539","17,380","18,953","19,202","19,311","17,410","17,165","16,457","16,679","17,928","19,085","19,729","20,212","20,836","20,866","22,284","20,696","20,266","20,908","20,274","17,914","20,430","19,065","21,707","19,338","17,536","16,113","14,849","13,729","13,670","10,743","10,365","9,674","7,847","7,886","7,423","6,976","6,177","3,869","4,744","4,335","5,057","4,280","3,404","3,156","2,783","2,287","2,053","1,691","1,541","1,228","936","753","508","393","352","234","175","102","76","52","76"
"세종특별자치시  (3600000000)","386,126","386,126","2,900","3,432","3,639","3,832","4,418","4,771","5,106","5,696","5,752","5,530","5,707","5,774","5,751","5,312","5,239","5,304","4,734","4,301","3,916","3,833","3,477","3,409","3,619","3,607","3,431","3,539","3,742","4,017","4,301","4,791","5,153","5,551","5,511","5,679","5,761","6,054","6,365","6,455","6,703","7,099","8,029","8,886","8,559","8,636","7,758","7,350","7,052","6,915","7,009","7,138","6,697","6,466","6,383","5,617","5,768","4,998","4,517","4,174","4,572","3,769","4,388","4,053","4,757","4,268","3,794","3,527","3,244","3,182","3,165","2,456","2,203","2,168","1,681","1,911","1,791","1,512","1,521","992","1,183","1,128","1,213","1,205","990","899","845","720","672","649","571","453","364","265","231","170","149","113","68","37","22","13","49"
"경기도  (4100000000)","13,618,969","13,618,969","71,810","77,842","81,995","87,404","95,459","102,845","113,786","126,775","130,759","127,528","135,631","137,498","140,101","129,077","130,794","139,974","130,677","123,155","125,363","133,241","131,595","140,526","162,642","168,725","169,691","179,076","181,530","189,199","190,731","195,293","200,206","201,345","185,733","181,800","180,045","176,526","179,009","186,119","186,085","201,920","223,472","240,972","241,438","239,592","217,451","214,462","211,413","215,220","224,742","243,469","245,766","247,449","254,899","242,294","252,558","223,444","216,391","215,065","217,578","193,517","220,394","201,437","229,616","211,464","189,277","175,402","159,287","147,726","150,615","116,303","111,442","106,172","80,331","90,514","84,676","86,434","84,846","58,821","64,686","60,574","66,014","63,980","52,196","46,741","43,471","37,338","33,537","28,794","24,350","19,187","15,269","12,223","8,970","7,425","5,802","4,170","2,895","1,820","1,247","860","1,961"
