타임스탬프,학년,성별,학과,취미,휴대폰 이용 시간대,휴대폰 이용 시간,휴대폰으로 주로 하는것,자기 전 1시간 휴대폰 이용,전자기기 제외 주로 뭐 하는지,학교 수업 외로 하루 공부 시간,주로 공부하는 시간,학과 선택 만족,전공 취업 선호도,소셜 미디어 사용 시간,집에서 학교까지 오는시간,학업 스트레스,교우관계,아르바이트,방과후 수업
2023. 10. 12 오후 12:21:46,2,남자,창업마케팅과,운동,학교에서(9시~17시),3~5시간,SNS,한다,공부,1시간-2시간,방과후(저녁),O,5,1시간-2시간,10-30분,2,3,X,O
2023. 10. 12 오후 12:21:49,2,남자,창업마케팅과,게임,학교에서(9시~17시),7~9시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,기타,O,5,2시간-3시간 이상,10-30분,3,2,X,O
2023. 10. 12 오후 12:23:07,3,남자,소프트웨어개발과,게임,학교에서(9시~17시),3~5시간,웹툰,한다,기타,0-30분,기타,O,7,1시간-2시간,10-30분,2,1,X,X
2023. 10. 12 오후 12:23:25,3,남자,소프트웨어개발과,게임,새벽에(00시~6시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,5,0-30분,10-30분,3,1,X,X
2023. 10. 12 오후 12:23:28,2,남자,창업마케팅과,음악,학교에서(9시~17시),5~7시간,웹툰,한다,기타,0-30분,기타,O,5,2시간-3시간 이상,1시간-2시간,1,1,O,X
2023. 10. 12 오후 12:23:29,3,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,기타,X,5,30-1시간,10-30분,3,3,X,X
2023. 10. 12 오후 12:23:29,3,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,밤,O,7,1시간-2시간,10-30분,1,3,X,X
2023. 10. 12 오후 12:23:32,3,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,공부,1시간-2시간,방과후(저녁),O,5,30-1시간,10-30분,2,2,X,X
2023. 10. 12 오후 12:23:49,2,여자,창업마케팅과,게임,밤에(20시~24시),7~9시간,SNS,한다,기타,0-30분,방과후(저녁),X,2,0-30분,10-30분,3,3,X,X
2023. 10. 12 오후 12:24:25,3,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,기타,O,6,1시간-2시간,30-1시간,2,3,X,X
2023. 10. 12 오후 12:24:47,3,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,밤,O,7,2시간-3시간 이상,10-30분,4,2,X,X
2023. 10. 12 오후 12:25:21,2,남자,창업마케팅과,기타,밤에(20시~24시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),O,5,30-1시간,30-1시간,3,1,X,X
2023. 10. 12 오후 12:25:30,3,남자,소프트웨어개발과,게임,저녁에(17시~20시),1~3시간,"영상 시청(유튜브, OTT)",한다,기타,0-30분,기타,X,1,0-30분,10-30분,4,4,X,X
2023. 10. 12 오후 12:25:46,2,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,밤,O,7,1시간-2시간,30-1시간,2,1,X,X
2023. 10. 12 오후 12:25:59,3,남자,소프트웨어개발과,예술,저녁에(17시~20시),1~3시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,X,8,30-1시간,30-1시간,3,3,X,X
2023. 10. 12 오후 12:26:05,2,여자,창업마케팅과,예술,밤에(20시~24시),3~5시간,SNS,한다,기타,1시간-2시간,기타,O,4,1시간-2시간,30-1시간,3,1,O,X
2023. 10. 12 오후 12:27:06,3,여자,소프트웨어개발과,음악,저녁에(17시~20시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,6,2시간-3시간 이상,10-30분,4,2,X,X
2023. 10. 12 오후 12:27:34,3,여자,뷰티디자인과,음악,밤에(20시~24시),1시간 미만,SNS,한다,스포츠 활동,0-30분,방과후(저녁),O,8,2시간-3시간 이상,1시간-2시간,1,2,X,X
2023. 10. 12 오후 12:27:46,3,여자,뷰티디자인과,기타,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,X,5,1시간-2시간,1시간-2시간,3,2,X,X
2023. 10. 12 오후 12:27:49,3,여자,뷰티디자인과,음악,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,7,2시간-3시간 이상,30-1시간,2,4,X,X
